url,team1,team2,team1_runs,team2_runs,team1_hits,team2_hits,team1_errors,team2_errors,post_hits_team1,post_walks_team1,post_rbis_team1,post_hits_team2,post_walks_team2,post_rbis_team2,winning_losing_saves_info
https://www.baseball-reference.com/boxes/TBA/TBA202506180.shtml,Baltimore Orioles,Tampa Bay Rays,8,12,7,18,1,1,0,0,0,0,0,0,WP: Mason Montgomery (1-1) • LP: Andrew Kittredge (1-1)
https://www.baseball-reference.com/boxes/TBA/TBA202506180.shtml,Baltimore Orioles,Tampa Bay Rays,8,12,7,18,1,1,0,0,0,0,0,0,WP: Mason Montgomery (1-1) • LP: Andrew Kittredge (1-1)
